Chrom	Strt	End	Relative Read Coverage	Sample
chr3	19800001	19900000	1.842	shattered
chr3	19900001	20000000	1.889	shattered
chr3	20000001	20100000	1.95	shattered
chr3	20100001	20200000	1.844	shattered
chr3	20200001	20300000	1.818	shattered
chr3	20300001	20400000	1.838	shattered
chr3	20400001	20500000	1.867	shattered
chr3	20500001	20600000	1.913	shattered
chr3	20600001	20700000	1.922	shattered
chr3	20700001	20800000	1.873	shattered
chr3	20800001	20900000	1.818	shattered
chr3	20900001	21000000	1.845	shattered
chr3	21000001	21100000	1.832	shattered
chr3	21100001	21200000	1.882	shattered
chr3	21200001	21300000	1.77	shattered
chr3	21300001	21400000	1.812	shattered
chr3	21400001	21500000	1.901	shattered
chr3	21500001	21600000	1.89	shattered
chr3	21600001	21700000	1.866	shattered
chr3	21700001	21800000	1.885	shattered
chr3	21800001	21900000	1.868	shattered
chr3	21900001	22000000	1.829	shattered
chr3	22000001	22100000	1.838	shattered
chr3	22100001	22200000	1.896	shattered
chr3	22200001	22300000	1.804	shattered
chr3	22300001	22400000	1.829	shattered
chr3	22400001	22500000	1.851	shattered
chr3	22500001	22600000	1.77	shattered
chr3	22600001	22700000	1.9	shattered
chr3	22700001	22800000	1.876	shattered
chr3	22800001	22900000	1.988	shattered
chr3	22900001	23000000	1.843	shattered
chr3	23000001	23100000	1.981	shattered
chr3	23100001	23200000	1.954	shattered
chr3	23200001	23300000	1.896	shattered
chr3	23300001	23400000	1.889	shattered
chr3	23400001	23459830	1.859	shattered
chr4	1	100000	1.714	shattered
chr4	100001	200000	1.843	shattered
chr4	200001	300000	1.808	shattered
chr4	300001	400000	1.848	shattered
chr4	400001	500000	1.969	shattered
chr4	500001	600000	1.864	shattered
chr4	600001	700000	1.866	shattered
chr4	700001	800000	1.943	shattered
chr4	800001	900000	1.832	shattered
chr4	900001	1000000	1.886	shattered
chr4	1000001	1100000	1.994	shattered
chr4	1100001	1200000	1.98	shattered
chr4	1200001	1300000	1.933	shattered
chr4	1300001	1400000	1.993	shattered
chr4	1400001	1500000	1.834	shattered
chr4	1500001	1600000	1.824	shattered
chr4	1600001	1700000	1.736	shattered
chr4	1700001	1800000	1.751	shattered
chr4	1800001	1900000	1.708	shattered
chr4	1900001	2000000	1.665	shattered
chr4	2000001	2100000	1.964	shattered
chr4	2100001	2200000	1.502	shattered
chr4	2200001	2300000	1.641	shattered
chr4	2300001	2400000	1.656	shattered
chr4	2400001	2500000	1.882	shattered
chr4	2500001	2600000	1.946	shattered
chr4	2600001	2700000	1.873	shattered
chr4	2700001	2800000	1.729	shattered
chr4	2800001	2900000	1.646	shattered
chr4	2900001	3000000	1.851	shattered
chr4	3000001	3100000	1.507	shattered
chr4	3100001	3200000	1.632	shattered
chr4	3200001	3300000	1.413	shattered
chr4	3300001	3400000	1.628	shattered
chr4	3400001	3500000	1.536	shattered
chr4	3500001	3600000	1.778	shattered
chr4	3600001	3700000	1.93	shattered
chr4	3700001	3800000	1.764	shattered
chr4	3800001	3900000	1.963	shattered
chr4	3900001	4000000	1.678	shattered
chr4	4000001	4100000	1.671	shattered
chr4	4100001	4200000	1.551	shattered
chr4	4200001	4300000	1.32	shattered
chr4	4300001	4400000	1.295	shattered
chr4	4400001	4500000	1.084	shattered
chr4	4500001	4600000	1.432	shattered
chr4	4600001	4700000	1.317	shattered
chr4	4700001	4800000	1.352	shattered
chr4	4800001	4900000	1.754	shattered
chr4	4900001	5000000	1.556	shattered
chr4	5000001	5100000	1.408	shattered
chr4	5100001	5200000	1.789	shattered
chr4	5200001	5300000	1.764	shattered
chr4	5300001	5400000	1.735	shattered
chr4	5400001	5500000	1.772	shattered
chr4	5500001	5600000	1.821	shattered
chr4	5600001	5700000	1.629	shattered
chr4	5700001	5800000	1.878	shattered
chr4	5800001	5900000	1.49	shattered
chr4	5900001	6000000	1.453	shattered
chr4	6000001	6100000	1.696	shattered
chr4	6100001	6200000	1.678	shattered
chr4	6200001	6300000	1.757	shattered
chr4	6300001	6400000	1.88	shattered
chr4	6400001	6500000	1.725	shattered
chr4	6500001	6600000	1.773	shattered
chr4	6600001	6700000	1.721	shattered
chr4	6700001	6800000	1.932	shattered
chr4	6800001	6900000	1.891	shattered
chr4	6900001	7000000	1.854	shattered
chr4	7000001	7100000	1.884	shattered
chr4	7100001	7200000	1.846	shattered
chr4	7200001	7300000	1.927	shattered
chr4	7300001	7400000	1.926	shattered
chr4	7400001	7500000	1.932	shattered
chr4	7500001	7600000	1.956	shattered
chr4	7600001	7700000	1.792	shattered
chr4	7700001	7800000	1.687	shattered
chr4	7800001	7900000	1.826	shattered
chr4	7900001	8000000	1.928	shattered
chr4	8000001	8100000	1.958	shattered
chr4	8100001	8200000	1.849	shattered
chr4	8200001	8300000	1.923	shattered
chr4	8300001	8400000	1.89	shattered
chr4	8400001	8500000	1.98	shattered
chr4	8500001	8600000	1.772	shattered
chr4	8600001	8700000	1.841	shattered
chr4	8700001	8800000	1.929	shattered
chr4	8800001	8900000	2.005	shattered
chr4	8900001	9000000	1.789	shattered
chr4	9000001	9100000	1.741	shattered
chr4	9100001	9200000	1.836	shattered
chr4	9200001	9300000	1.706	shattered
chr4	9300001	9400000	1.797	shattered
chr4	9400001	9500000	1.855	shattered
chr4	9500001	9600000	1.726	shattered
chr4	9600001	9700000	1.716	shattered
chr4	9700001	9800000	1.687	shattered
chr4	9800001	9900000	1.842	shattered
chr4	9900001	10000000	1.925	shattered
chr4	10000001	10100000	1.892	shattered
chr4	10100001	10200000	1.82	shattered
chr4	10200001	10300000	1.986	shattered
chr4	10300001	10400000	1.932	shattered
chr4	10400001	10500000	1.871	shattered
chr4	10500001	10600000	1.777	shattered
chr4	10600001	10700000	1.794	shattered
chr4	10700001	10800000	1.805	shattered
chr4	10800001	10900000	1.789	shattered
chr4	10900001	11000000	1.8	shattered
chr4	11000001	11100000	1.519	shattered
chr4	11100001	11200000	2.006	shattered
chr4	11200001	11300000	2.003	shattered
chr4	11300001	11400000	1.95	shattered
chr4	11400001	11500000	1.891	shattered
chr4	11500001	11600000	1.729	shattered
chr4	11600001	11700000	1.787	shattered
chr4	11700001	11800000	1.943	shattered
chr4	11800001	11900000	1.796	shattered
chr4	11900001	12000000	1.939	shattered
chr4	12000001	12100000	1.79	shattered
chr4	12100001	12200000	1.82	shattered
chr4	12200001	12300000	1.689	shattered
chr4	12300001	12400000	1.894	shattered
chr4	12400001	12500000	1.92	shattered
chr4	12500001	12600000	1.869	shattered
chr4	12600001	12700000	1.771	shattered
chr4	12700001	12800000	1.774	shattered
chr4	12800001	12900000	1.823	shattered
chr4	12900001	13000000	1.826	shattered
chr4	13000001	13100000	1.825	shattered
chr4	13100001	13200000	1.866	shattered
chr4	13200001	13300000	1.878	shattered
chr4	13300001	13400000	1.743	shattered
chr4	13400001	13500000	1.831	shattered
chr4	13500001	13600000	1.941	shattered
chr4	13600001	13700000	1.857	shattered
chr4	13700001	13800000	1.872	shattered
chr4	13800001	13900000	1.842	shattered
chr4	13900001	14000000	2.028	shattered
chr4	14000001	14100000	1.812	shattered
chr4	14100001	14200000	1.872	shattered
chr4	14200001	14300000	1.853	shattered
chr4	14300001	14400000	1.894	shattered
chr4	14400001	14500000	1.867	shattered
chr4	14500001	14600000	1.912	shattered
chr4	14600001	14700000	1.863	shattered
chr4	14700001	14800000	1.874	shattered
chr4	14800001	14900000	1.848	shattered
chr4	14900001	15000000	1.874	shattered
chr4	15000001	15100000	1.774	shattered
chr4	15100001	15200000	1.791	shattered
chr4	15200001	15300000	1.975	shattered
chr4	15300001	15400000	1.914	shattered
chr4	15400001	15500000	1.952	shattered
chr4	15500001	15600000	1.968	shattered
chr4	15600001	15700000	1.832	shattered
chr4	15700001	15800000	1.844	shattered
chr4	15800001	15900000	1.79	shattered
chr4	15900001	16000000	1.857	shattered
chr4	16000001	16100000	1.77	shattered
chr4	16100001	16200000	1.801	shattered
chr4	16200001	16300000	1.861	shattered
chr4	16300001	16400000	1.999	shattered
chr4	16400001	16500000	1.943	shattered
chr4	16500001	16600000	1.935	shattered
chr4	16600001	16700000	1.883	shattered
chr4	16700001	16800000	1.896	shattered
chr4	16800001	16900000	1.925	shattered
chr4	16900001	17000000	1.843	shattered
chr4	17000001	17100000	1.969	shattered
chr4	17100001	17200000	1.759	shattered
chr4	17200001	17300000	2.027	shattered
chr4	17300001	17400000	1.998	shattered
chr4	17400001	17500000	2.001	shattered
chr4	17500001	17600000	1.969	shattered
chr4	17600001	17700000	1.888	shattered
chr4	17700001	17800000	1.83	shattered
chr4	17800001	17900000	1.881	shattered
chr4	17900001	18000000	1.825	shattered
chr4	18000001	18100000	1.752	shattered
chr4	18100001	18200000	1.94	shattered
chr4	18200001	18300000	2.074	shattered
chr4	18300001	18400000	1.824	shattered
chr4	18400001	18500000	1.934	shattered
chr4	18500001	18585056	2.163	shattered
chr5	1	100000	1.967	shattered
chr5	100001	200000	1.886	shattered
chr5	200001	300000	1.948	shattered
chr5	300001	400000	1.898	shattered
chr5	400001	500000	1.997	shattered
chr5	500001	600000	1.882	shattered
chr5	600001	700000	1.791	shattered
chr5	700001	800000	1.981	shattered
chr5	800001	900000	1.853	shattered
chr5	900001	1000000	1.944	shattered
chr5	1000001	1100000	1.892	shattered
chr5	1100001	1200000	1.836	shattered
chr5	1200001	1300000	1.817	shattered
chr5	1300001	1400000	1.973	shattered
chr5	1400001	1500000	1.841	shattered
chr5	1500001	1600000	1.989	shattered
chr5	1600001	1700000	1.815	shattered
chr5	1700001	1800000	1.939	shattered
chr5	1800001	1900000	1.817	shattered
chr5	1900001	2000000	1.833	shattered
chr5	2000001	2100000	1.832	shattered
chr5	2100001	2200000	1.766	shattered
chr5	2200001	2300000	1.892	shattered
chr5	2300001	2400000	1.834	shattered
chr5	2400001	2500000	1.865	shattered
chr5	2500001	2600000	1.959	shattered
chr5	2600001	2700000	1.889	shattered
chr5	2700001	2800000	1.842	shattered
chr5	2800001	2900000	1.879	shattered
chr5	2900001	3000000	1.869	shattered
chr5	3000001	3100000	1.942	shattered
chr5	3100001	3200000	1.835	shattered
chr5	3200001	3300000	1.843	shattered
chr5	3300001	3400000	1.94	shattered
chr5	3400001	3500000	1.933	shattered
chr5	3500001	3600000	1.917	shattered
chr5	3600001	3700000	1.867	shattered
chr5	3700001	3800000	1.91	shattered
chr5	3800001	3900000	1.781	shattered
chr5	3900001	4000000	1.775	shattered
chr5	4000001	4100000	1.813	shattered
chr5	4100001	4200000	1.914	shattered
chr5	4200001	4300000	1.813	shattered
chr5	4300001	4400000	1.78	shattered
chr5	4400001	4500000	1.77	shattered
chr5	4500001	4600000	1.847	shattered
chr5	4600001	4700000	1.928	shattered
chr5	4700001	4800000	1.754	shattered
chr5	4800001	4900000	1.923	shattered
chr5	4900001	5000000	1.833	shattered
chr5	5000001	5100000	1.952	shattered
chr5	5100001	5200000	1.835	shattered
chr5	5200001	5300000	1.81	shattered
chr5	5300001	5400000	1.875	shattered
chr5	5400001	5500000	1.834	shattered
chr5	5500001	5600000	1.789	shattered
chr5	5600001	5700000	1.936	shattered
chr5	5700001	5800000	1.899	shattered
chr5	5800001	5900000	1.919	shattered
chr5	5900001	6000000	1.877	shattered
chr5	6000001	6100000	1.786	shattered
chr5	6100001	6200000	1.848	shattered
chr5	6200001	6300000	1.892	shattered
chr5	6300001	6400000	1.921	shattered
chr5	6400001	6500000	1.838	shattered
chr5	6500001	6600000	1.808	shattered
chr5	6600001	6700000	1.803	shattered
chr5	6700001	6800000	1.888	shattered
chr5	6800001	6900000	1.9	shattered
chr5	6900001	7000000	1.887	shattered
chr5	7000001	7100000	1.856	shattered
chr5	7100001	7200000	1.883	shattered
chr5	7200001	7300000	1.975	shattered
chr5	7300001	7400000	1.961	shattered
chr5	7400001	7500000	1.726	shattered
chr5	7500001	7600000	1.83	shattered
chr5	7600001	7700000	1.838	shattered
chr5	7700001	7800000	1.906	shattered
chr5	7800001	7900000	1.861	shattered
chr5	7900001	8000000	1.868	shattered
chr5	8000001	8100000	1.948	shattered
chr5	8100001	8200000	1.847	shattered
chr5	8200001	8300000	1.862	shattered
chr5	8300001	8400000	1.904	shattered
chr5	8400001	8500000	1.793	shattered
chr5	8500001	8600000	1.781	shattered
chr5	8600001	8700000	1.77	shattered
chr5	8700001	8800000	1.822	shattered
chr5	8800001	8900000	1.837	shattered
chr5	8900001	9000000	1.873	shattered
chr5	9000001	9100000	1.914	shattered
chr5	9100001	9200000	1.838	shattered
chr5	9200001	9300000	1.964	shattered
chr5	9300001	9400000	2.071	shattered
chr5	9400001	9500000	1.918	shattered
chr5	9500001	9600000	2.018	shattered
chr5	9600001	9700000	1.831	shattered
chr5	9700001	9800000	1.895	shattered
chr5	9800001	9900000	1.978	shattered
chr5	9900001	10000000	1.946	shattered
chr5	10000001	10100000	1.631	shattered
chr5	10100001	10200000	1.805	shattered
chr5	10200001	10300000	1.606	shattered
chr5	10300001	10400000	1.662	shattered
chr5	10400001	10500000	1.652	shattered
chr5	10500001	10600000	1.717	shattered
chr5	10600001	10700000	1.672	shattered
chr5	10700001	10800000	1.708	shattered
chr5	10800001	10900000	1.771	shattered
chr5	10900001	11000000	1.748	shattered
chr5	11000001	11100000	1.754	shattered
chr5	11100001	11200000	1.866	shattered
chr5	11200001	11300000	1.947	shattered
chr5	11300001	11400000	1.56	shattered
chr5	11400001	11500000	1.5	shattered
chr5	11500001	11600000	1.716	shattered
chr5	11600001	11700000	1.49	shattered
chr5	11700001	11800000	1.39	shattered
chr5	11800001	11900000	1.279	shattered
chr5	11900001	12000000	1.319	shattered
chr5	12000001	12100000	1.626	shattered
chr5	12100001	12200000	1.612	shattered
chr5	12200001	12300000	1.675	shattered
chr5	12300001	12400000	1.235	shattered
chr5	12400001	12500000	1.526	shattered
chr5	12500001	12600000	1.749	shattered
chr5	12600001	12700000	1.632	shattered
chr5	12700001	12800000	1.258	shattered
chr5	12800001	12900000	1.757	shattered
chr5	12900001	13000000	1.407	shattered
chr5	13000001	13100000	1.472	shattered
chr5	13100001	13200000	1.731	shattered
chr5	13200001	13300000	1.502	shattered
chr5	13300001	13400000	1.805	shattered
chr5	13400001	13500000	1.586	shattered
chr5	13500001	13600000	1.851	shattered
chr5	13600001	13700000	1.857	shattered
chr5	13700001	13800000	1.742	shattered
chr5	13800001	13900000	1.741	shattered
chr5	13900001	14000000	1.642	shattered
chr5	14000001	14100000	1.828	shattered
chr5	14100001	14200000	1.702	shattered
chr5	14200001	14300000	1.729	shattered
chr5	14300001	14400000	1.988	shattered
chr5	14400001	14500000	1.884	shattered
chr5	14500001	14600000	1.584	shattered
chr5	14600001	14700000	1.924	shattered
chr5	14700001	14800000	1.818	shattered
chr5	14800001	14900000	1.788	shattered
chr5	14900001	15000000	1.752	shattered
chr5	15000001	15100000	1.804	shattered
chr5	15100001	15200000	1.746	shattered
chr5	15200001	15300000	1.858	shattered
chr5	15300001	15400000	1.826	shattered
chr5	15400001	15500000	1.786	shattered
chr5	15500001	15600000	1.847	shattered
chr5	15600001	15700000	1.484	shattered
chr5	15700001	15800000	1.838	shattered
chr5	15800001	15900000	1.918	shattered
chr5	15900001	16000000	1.902	shattered
chr5	16000001	16100000	1.905	shattered
chr5	16100001	16200000	1.917	shattered
chr5	16200001	16300000	1.913	shattered
chr5	16300001	16400000	1.888	shattered
chr5	16400001	16500000	1.944	shattered
chr5	16500001	16600000	1.969	shattered
chr5	16600001	16700000	1.853	shattered
chr5	16700001	16800000	1.89	shattered
chr5	16800001	16900000	1.891	shattered
chr5	16900001	17000000	1.84	shattered
chr5	17000001	17100000	1.74	shattered
chr5	17100001	17200000	1.965	shattered
chr5	17200001	17300000	1.914	shattered
chr5	17300001	17400000	1.889	shattered
chr5	17400001	17500000	1.904	shattered
chr5	17500001	17600000	1.905	shattered
chr5	17600001	17700000	1.911	shattered
chr5	17700001	17800000	1.964	shattered
chr5	17800001	17900000	1.84	shattered
chr5	17900001	18000000	1.783	shattered
chr5	18000001	18100000	1.972	shattered
chr5	18100001	18200000	1.629	shattered
chr5	18200001	18300000	1.731	shattered
chr5	18300001	18400000	1.869	shattered
chr5	18400001	18500000	1.967	shattered
chr5	18500001	18600000	2.061	shattered
chr5	18600001	18700000	1.997	shattered
chr5	18700001	18800000	1.964	shattered
chr5	18800001	18900000	1.792	shattered
chr5	18900001	19000000	1.862	shattered
chr5	19000001	19100000	1.952	shattered
chr5	19100001	19200000	1.874	shattered
chr5	19200001	19300000	1.86	shattered
chr5	19300001	19400000	1.788	shattered
chr5	19400001	19500000	1.863	shattered
chr5	19500001	19600000	1.796	shattered
chr5	19600001	19700000	1.868	shattered
chr5	19700001	19800000	1.936	shattered
chr5	19800001	19900000	1.812	shattered
chr5	19900001	20000000	1.87	shattered
chr5	20000001	20100000	1.784	shattered
chr5	20100001	20200000	1.914	shattered
chr5	20200001	20300000	1.762	shattered
chr5	20300001	20400000	1.81	shattered
chr5	20400001	20500000	1.868	shattered
chr5	20500001	20600000	1.883	shattered
chr5	20600001	20700000	1.826	shattered
chr5	20700001	20800000	1.803	shattered
chr5	20800001	20900000	1.861	shattered
chr5	20900001	21000000	1.876	shattered
chr5	21000001	21100000	1.944	shattered
chr5	21100001	21200000	1.858	shattered
chr5	21200001	21300000	1.898	shattered
chr5	21300001	21400000	2.023	shattered
chr5	21400001	21500000	1.907	shattered
chr5	21500001	21600000	1.866	shattered
chr5	21600001	21700000	1.854	shattered
chr5	21700001	21800000	1.898	shattered
chr5	21800001	21900000	1.811	shattered
chr5	21900001	22000000	1.851	shattered
chr5	22000001	22100000	1.898	shattered
chr5	22100001	22200000	1.939	shattered
chr5	22200001	22300000	1.893	shattered
chr5	22300001	22400000	1.93	shattered
chr5	22400001	22500000	1.961	shattered
chr5	22500001	22600000	1.85	shattered
chr5	22600001	22700000	1.967	shattered
chr5	22700001	22800000	1.859	shattered
chr5	22800001	22900000	1.855	shattered
chr5	22900001	23000000	1.851	shattered
chr5	23000001	23100000	1.989	shattered
chr5	23100001	23200000	1.921	shattered
chr5	23200001	23300000	1.864	shattered
chr5	23300001	23400000	1.964	shattered
chr5	23400001	23500000	1.768	shattered
chr5	23500001	23600000	1.81	shattered
chr5	23600001	23700000	1.799	shattered
chr5	23700001	23800000	1.901	shattered
chr5	23800001	23900000	1.976	shattered
chr5	23900001	24000000	1.869	shattered
chr5	24000001	24100000	1.783	shattered
chr5	24100001	24200000	1.849	shattered
chr5	24200001	24300000	1.845	shattered
chr5	24300001	24400000	2.006	shattered
chr5	24400001	24500000	1.922	shattered
chr5	24500001	24600000	2	shattered
chr5	24600001	24700000	1.851	shattered
chr5	24700001	24800000	1.903	shattered
chr5	24800001	24900000	1.873	shattered
chr5	24900001	25000000	1.863	shattered
chr5	25000001	25100000	1.885	shattered
chr5	25100001	25200000	1.921	shattered
chr5	25200001	25300000	1.887	shattered
chr5	25300001	25400000	1.817	shattered
chr5	25400001	25500000	1.976	shattered
chr5	25500001	25600000	1.882	shattered
chr5	25600001	25700000	1.954	shattered
chr5	25700001	25800000	1.939	shattered
chr5	25800001	25900000	2.002	shattered
chr5	25900001	26000000	1.906	shattered
chr5	26000001	26100000	1.922	shattered
chr5	26100001	26200000	2.059	shattered
chr5	26200001	26300000	1.97	shattered
chr5	26300001	26400000	1.879	shattered
chr5	26400001	26500000	1.779	shattered
chr5	26500001	26600000	2.014	shattered
chr5	26600001	26700000	1.957	shattered
chr5	26700001	26800000	1.972	shattered
chr5	26800001	26900000	2.008	shattered
chr5	26900001	26975502	2.158	shattered
