Chrom	Pos	InGene	Start	End	Info
Chr1	13899666	TRUE	13898210	13900831	ID=AT1G36732.TAIR10;Name=AT1G36732
Chr1	4613232	TRUE	4612731	4615353	ID=AT1G13450.TAIR10;Name=AT1G13450
Chr1	4645308	TRUE	4644521	4647007	ID=AT1G13580.TAIR10;Name=AT1G13580
Chr1	9605355	TRUE	9603178	9606101	ID=AT1G27600.TAIR10;Name=AT1G27600
Chr1	10062955	TRUE	10058456	10063460	ID=AT1G28630.TAIR10;Name=AT1G28630
Chr1	4704280	TRUE	4702725	4704657	ID=AT1G13710.TAIR10;Name=AT1G13710
Chr1	4740871	TRUE	4739873	4741038	ID=AT1G13830.TAIR10;Name=AT1G13830
Chr1	4753401	TRUE	4753145	4755580	ID=AT1G13900.TAIR10;Name=AT1G13900
Chr1	9533766	TRUE	9531839	9534114	ID=AT1G27450.TAIR10;Name=AT1G27450
Chr1	4788489	TRUE	4788463	4794654	ID=AT1G13980.TAIR10;Name=AT1G13980
Chr1	4806523	TRUE	4805306	4807517	ID=AT1G14030.TAIR10;Name=AT1G14030
Chr1	4811092	TRUE	4810488	4814543	ID=AT1G14040.TAIR10;Name=AT1G14040
Chr1	8507068	TRUE	8507010	8508864	ID=AT1G24050.TAIR10;Name=AT1G24050
Chr1	10158050	TRUE	10157494	10158674	ID=AT1G29080.TAIR10;Name=AT1G29080
Chr1	4969278	TRUE	4968142	4970311	ID=AT1G14520.TAIR10;Name=AT1G14520
Chr1	7592650	TRUE	7588414	7592890	ID=AT1G21640.TAIR10;Name=AT1G21640
Chr1	5141665	TRUE	5139712	5143689	ID=AT1G14910.TAIR10;Name=AT1G14910
Chr1	9600580	TRUE	9596360	9603255	ID=AT1G27595.TAIR10;Name=AT1G27595
Chr1	5210546	TRUE	5210206	5212349	ID=AT1G15140.TAIR10;Name=AT1G15140
Chr1	8867416	TRUE	8867108	8869092	ID=AT1G25290.TAIR10;Name=AT1G25290
Chr1	9731291	TRUE	9731260	9732719	ID=AT1G27930.TAIR10;Name=AT1G27930
Chr1	6136647	TRUE	6135803	6138432	ID=AT1G17830.TAIR10;Name=AT1G17830
Chr1	8658867	TRUE	8658003	8659506	ID=AT1G24430.TAIR10;Name=AT1G24430
Chr1	7293706	TRUE	7292568	7294746	ID=AT1G20930.TAIR10;Name=AT1G20930
Chr1	5575139	TRUE	5574310	5577622	ID=AT1G16300.TAIR10;Name=AT1G16300
Chr1	13054425	TRUE	13051410	13055014	ID=AT1G35470.TAIR10;Name=AT1G35470
Chr1	5662332	TRUE	5659415	5665449	ID=AT1G16540.TAIR10;Name=AT1G16540
Chr1	5714409	TRUE	5714219	5722614	ID=AT1G16710.TAIR10;Name=AT1G16710
Chr1	5816169	TRUE	5812728	5816660	ID=AT1G17000.TAIR10;Name=AT1G17000
Chr1	5858307	TRUE	5856573	5858550	ID=AT1G17140.TAIR10;Name=AT1G17140
Chr1	10388203	TRUE	10387673	10389100	ID=AT1G29710.TAIR10;Name=AT1G29710
Chr1	8346855	TRUE	8346827	8349786	ID=AT1G23540.TAIR10;Name=AT1G23540
Chr1	6057261	TRUE	6056895	6058357	ID=AT1G17610.TAIR10;Name=AT1G17610
Chr1	8679152	TRUE	8678858	8681894	ID=AT1G24485.TAIR10;Name=AT1G24485
Chr1	7545920	TRUE	7545151	7546936	ID=AT1G21530.TAIR10;Name=AT1G21530
Chr1	6069080	TRUE	6067394	6069098	ID=AT1G17640.TAIR10;Name=AT1G17640
Chr1	10469827	TRUE	10468054	10472211	ID=AT1G29900.TAIR10;Name=AT1G29900
Chr1	7430677	TRUE	7429980	7432346	ID=AT1G21230.TAIR10;Name=AT1G21230
Chr1	6216564	TRUE	6213725	6218340	ID=AT1G18070.TAIR10;Name=AT1G18070
Chr1	6253790	TRUE	6248793	6254039	ID=AT1G18160.TAIR10;Name=AT1G18160
Chr1	6331840	TRUE	6331398	6333743	ID=AT1G18400.TAIR10;Name=AT1G18400
Chr1	10986758	TRUE	10986523	10989504	ID=AT1G30860.TAIR10;Name=AT1G30860
Chr1	6371039	TRUE	6369347	6373025	ID=AT1G18500.TAIR10;Name=AT1G18500
Chr1	7043902	TRUE	7043713	7044592	ID=AT1G20350.TAIR10;Name=AT1G20350
Chr1	6671508	TRUE	6671137	6672653	ID=AT1G19300.TAIR10;Name=AT1G19300
Chr1	6764820	TRUE	6763915	6764971	ID=AT1G19530.TAIR10;Name=AT1G19530
Chr1	6789194	TRUE	6788885	6791846	ID=AT1G19640.TAIR10;Name=AT1G19640
Chr1	7503631	TRUE	7502159	7504175	ID=AT1G21440.TAIR10;Name=AT1G21440
Chr1	7215627	TRUE	7215015	7216741	ID=AT1G20770.TAIR10;Name=AT1G20770
Chr1	10907006	TRUE	10905817	10908892	ID=AT1G30755.TAIR10;Name=AT1G30755
Chr1	8705128	TRUE	8702385	8705848	ID=AT1G24560.TAIR10;Name=AT1G24560
Chr1	7655665	TRUE	7654184	7655883	ID=AT1G21790.TAIR10;Name=AT1G21790
Chr1	7684160	TRUE	7682584	7685662	ID=AT1G21890.TAIR10;Name=AT1G21890
Chr1	7780184	TRUE	7773063	7781499	ID=AT1G22060.TAIR10;Name=AT1G22060
Chr1	8281530	TRUE	8279588	8281891	ID=AT1G23330.TAIR10;Name=AT1G23330
Chr1	8025377	TRUE	8024967	8026356	ID=AT1G22680.TAIR10;Name=AT1G22680
Chr1	8047846	TRUE	8046149	8049039	ID=AT1G22730.TAIR10;Name=AT1G22730
Chr1	8158843	TRUE	8156646	8159077	ID=AT1G23030.TAIR10;Name=AT1G23030
Chr1	9003576	TRUE	9002285	9004646	ID=AT1G25682.TAIR10;Name=AT1G25682
Chr1	8302591	TRUE	8297291	8302651	ID=AT1G23380.TAIR10;Name=AT1G23380
Chr1	8651590	TRUE	8651407	8653828	ID=AT1G24400.TAIR10;Name=AT1G24400
Chr1	11057146	TRUE	11057105	11058867	ID=AT1G31020.TAIR10;Name=AT1G31020
Chr1	10219511	TRUE	10216779	10219846	ID=AT1G29240.TAIR10;Name=AT1G29240
Chr1	15607610	TRUE	15603617	15607966	ID=AT1G41830.TAIR10;Name=AT1G41830
Chr1	9716522	TRUE	9715453	9720568	ID=AT1G27900.TAIR10;Name=AT1G27900
Chr1	11372833	TRUE	11372425	11373483	ID=AT1G31760.TAIR10;Name=AT1G31760
Chr1	11282178	TRUE	11281188	11282468	ID=AT1G31530.TAIR10;Name=AT1G31530
Chr1	12592131	TRUE	12591348	12592737	ID=AT1G34440.TAIR10;Name=AT1G34440
Chr1	13072133	TRUE	13071165	13074949	ID=AT1G35510.TAIR10;Name=AT1G35510
Chr1	11116159	TRUE	11114701	11116195	ID=AT1G31130.TAIR10;Name=AT1G31130
Chr1	30069799	TRUE	30069536	30073332	ID=AT1G79940.TAIR10;Name=AT1G79940
Chr4	12809176	TRUE	12808520	12811377	ID=AT4G24880.TAIR10;Name=AT4G24880
Chr4	12809272	TRUE	12808520	12811377	ID=AT4G24880.TAIR10;Name=AT4G24880
